iter	Passed	Remaining
0	1300	258835
1	3074	304398
2	4670	306724
3	6382	312736
4	8025	312977
5	9654	312155
6	11277	310943
7	12779	306701
8	14306	303607
9	15776	299749
10	17424	299377
11	18987	297471
12	20468	294435
13	22056	293030
14	23735	292738
15	25471	292927
16	27251	293354
17	28838	291584
18	30425	289840
19	32105	288945
20	33524	285757
21	34941	282706
22	36560	281354
23	37994	278624
24	39726	278086
25	41319	276523
26	42849	274553
27	44337	272356
28	45967	271047
29	47275	267894
30	48812	266105
31	50093	262992
32	51693	261598
33	53153	259513
34	54601	257407
35	55838	254377
36	57405	252894
37	58740	250421
38	60261	248772
39	61651	246607
40	63225	245192
41	64655	243226
42	65793	240222
43	67211	238293
44	68416	235658
45	69955	234199
46	71331	232206
47	72751	230380
48	74097	228341
49	75408	226224
50	76876	224600
51	78317	222904
52	79964	221788
53	81373	220010
54	82792	218271
55	84251	216647
56	85830	215328
57	87441	214080
58	88857	212355
59	90345	210806
60	91854	209307
61	93406	207904
62	95045	206686
63	96694	205475
64	98116	203780
65	99523	202063
66	101164	200818
67	102777	199508
68	104298	198015
69	105886	196645
70	107499	195315
71	108962	193710
72	110535	192302
73	112294	191204
74	114005	190009
75	115507	188459
76	117226	187257
77	119031	186177
78	120593	184706
79	122310	183465
80	124092	182309
81	125689	180870
82	127070	179123
83	128672	177690
84	130158	176096
85	131743	174636
86	133523	173427
87	135154	172015
88	136919	170764
89	138699	169521
90	140543	168343
91	142260	167001
92	144222	165933
93	146133	164788
94	147708	163256
95	149343	161788
96	151261	160618
97	153123	159373
98	154777	157904
99	156580	156580
100	158332	155197
101	160000	153726
102	161677	152259
103	163464	150890
104	165096	149373
105	166771	147892
106	168311	146289
107	169946	144768
108	171538	143210
109	173152	141670
110	174927	140257
111	176766	138888
112	178776	137642
113	180684	136305
114	182481	134877
115	184342	133489
116	186142	132049
117	188049	130678
118	189716	129134
119	191433	127622
120	193037	126032
121	194758	124517
122	196364	122927
123	197978	121341
124	199800	119880
125	201468	118322
126	203172	116784
127	204900	115256
128	206584	113701
129	208408	112220
130	210366	110803
131	212247	109339
132	214032	107820
133	215829	106303
134	217679	104808
135	219498	103293
136	221105	101676
137	222925	100155
138	224714	98615
139	226245	96962
140	227757	95302
141	229305	93659
142	230917	92043
143	232602	90456
144	234101	88797
145	235678	87168
146	237352	85576
147	238945	83953
148	240488	82314
149	242091	80697
150	243789	79110
151	245407	77497
152	246996	75874
153	248570	74248
154	250121	72615
155	251543	70948
156	253133	69329
157	254776	67725
158	256460	66131
159	258176	64544
160	259798	62932
161	261531	61346
162	263317	59771
163	265126	58198
164	266790	56592
165	268549	55004
166	270285	53409
167	271975	51804
168	273734	50211
169	275301	48582
170	277008	46978
171	278694	45368
172	280578	43789
173	282322	42186
174	284041	40577
175	285654	38952
176	287320	37335
177	288994	35718
178	290707	34105
179	292391	32487
180	294086	30870
181	295875	29262
182	297577	27643
183	299097	26008
184	300933	24400
185	302627	22778
186	304377	21159
187	305934	19527
188	307589	17902
189	309114	16269
190	310817	14645
191	312510	13021
192	314052	11390
193	315682	9763
194	317317	8136
195	318917	6508
196	320552	4881
197	322323	3255
198	323775	1627
199	325351	0
